,Title 1,Meta Description 1,H1-1
5008,"Audi - ""Victory Lap Event""",Television Victory Lap Event for Audi by McKinney,"Audi - ""Victory Lap Event"""
5009,Title 1,Meta Description 1,H1-1
5010,"Radio e Reti - ""Football""",Print Football for Radio e Reti by Cayenne S.R.L.,"Radio e Reti - ""Football"""
5011,"Nike - ""Dunk""",Television & Cinema Dunk for Nike by Wieden + Kennedy,"Nike - ""Dunk"""
5012,"Quaker Oats - ""Day Off""",Television & Cinema Day Off for Quaker Oats by AMV BBDO - The 30 spots are narrated by Charlie Higson who asks Windy about his choice of breakfast. As on...,"Quaker Oats - ""Day Off"""
5013,"Quaker Oats - ""Supergrain""",Television & Cinema Supergrain for Quaker Oats by AMV BBDO - The 30 spots are narrated by Charlie Higson who asks Windy about his choice of breakfast. As...,"Quaker Oats - ""Supergrain"""
5014,"Cingular Wireless - ""Super Fan""",Television Super Fan for Cingular Wireless by BBDO New York - Raising the bar.,"Cingular Wireless - ""Super Fan"""
5015,"NCAA - ""NCAA Athletes""",Television NCAA Athletes for NCAA by Y&R California,"NCAA - ""NCAA Athletes"""
5016,"Cingular Wireless - ""Dropped call""",Television Dropped call for Cingular Wireless by BBDO New York - Raising the bar.,"Cingular Wireless - ""Dropped call"""
5017,"Sportpoint Extreme - ""Manifesto""","Magazine Manifesto for Sportpoint Extreme by ÇÖZÜM - ""IF WE DON'T HAVE IT INSIDE, YOU DON'T HAVE IT IN YOU""
We're the snowboard you ride in the mountain,...","Sportpoint Extreme - ""Manifesto"""
5018,"adidas - ""adidas Sports Style""",Web Site adidas Sports Style for adidas by Neue Digitale,"adidas - ""adidas Sports Style"""
5019,"Chevrolet - ""Dancing""",Television & Cinema Dancing for Chevrolet,"Chevrolet - ""Dancing"""
5020,"Cingular Wireless - ""Families""",Television & Cinema Families for Cingular Wireless by BBDO New York - Raising the bar.,"Cingular Wireless - ""Families"""
5021,"Powerade - ""Shoes""",Television & Cinema Shoes for Powerade by Wieden + Kennedy - The Low Calorie Sports Drink,"Powerade - ""Shoes"""
5022,"2K Sports - ""Think Like A Pro""",Television Think Like A Pro for 2K Sports by RDA International,"2K Sports - ""Think Like A Pro"""
5023,"Fiat - ""Beggar""",Television & Cinema Beggar for Fiat by FCB Brasil - Vele o sacrificio,"Fiat - ""Beggar"""
5024,"TAC - ""Haunted""",Television Haunted for TAC by Grey Worldwide Melbourne,"TAC - ""Haunted"""
5025,"Toyota - ""Banjo""",Television & Cinema Banjo for Toyota by Saatchi & Saatchi Los Angeles - moving forward,"Toyota - ""Banjo"""
5026,"Coca-Cola - ""Coolspray""",Television & Cinema Coolspray for Coca-Cola by Nyrop and Vejlgaard,"Coca-Cola - ""Coolspray"""
5027,"Japan Dairy Council - ""Basketball (English subt)""",Television Basketball (English subt) for Japan Dairy Council by Dentsu Inc.,"Japan Dairy Council - ""Basketball (English subt)"""
5028,"Altea - ""Mini cars""",Poster Mini cars for Altea by Atletico International - The sports car that makes others feel small.,"Altea - ""Mini cars"""
5029,"Altea - ""Mini Car""",Poster Mini Car for Altea by Atletico International - The sports car that makes others feel small.,"Altea - ""Mini Car"""
5030,"Altea - ""Mini Car Three""",Poster Mini Car Three for Altea by Atletico International - The sports car that makes others feel small.,"Altea - ""Mini Car Three"""
5031,"Zurich Classic of New Orleans - ""Silence""",Television & Cinema Silence for Zurich Classic of New Orleans,"Zurich Classic of New Orleans - ""Silence"""
5032,"Mitsubishi - ""Levels""",Television & Cinema Levels for Mitsubishi by BBDO West - Driven to Thrill,"Mitsubishi - ""Levels"""
5033,"Partnership for a Drugfree America - ""Shrinking Balls""",Television & Cinema Shrinking Balls for Partnership for a Drugfree America by FCB New York,"Partnership for a Drugfree America - ""Shrinking Balls"""
5034,"Lexus - ""Moments""",Television & Cinema Moments for Lexus by Bruce Dowad Associates  Inc.,"Lexus - ""Moments"""
5035,"Mercedes-Benz - ""2006 Mercedes-Benz C-Class Sports Sedan""",Catalog 2006 Mercedes-Benz C-Class Sports Sedan for Mercedes-Benz by The Designory,"Mercedes-Benz - ""2006 Mercedes-Benz C-Class Sports Sedan"""
5036,"Lamb - ""Sam Kekovichs Australia Day Message""",Television Sam Kekovichs Australia Day Message for Lamb by BMF - The television commercial features former football star Sam Kekovich sitting in front of a...,"Lamb - ""Sam Kekovichs Australia Day Message"""
5037,"Alltel - ""Football""",Television & Cinema Football for Alltel by hawkeye,"Alltel - ""Football"""
5038,"Scandic Hotels - ""Stay close to the sports / Hockey players""",Print Stay close to the sports / Hockey players for Scandic Hotels by Creator Momentum - With hotels all over Scandinavia. You can always stay close to you...,"Scandic Hotels - ""Stay close to the sports / Hockey players"""
5039,"Scandic Hotels - ""Stay close to the sports / Javelin""",Print Stay close to the sports / Javelin for Scandic Hotels by Creator Momentum - With hotels all over Scandinavia. You can always stay close to your sport...,"Scandic Hotels - ""Stay close to the sports / Javelin"""
5040,"Scandic Hotels - ""Stay close to the sports / Soccer ball""",Print Stay close to the sports / Soccer ball for Scandic Hotels by Creator Momentum - With hotels all over Scandinavia. You can always stay close to your s...,"Scandic Hotels - ""Stay close to the sports / Soccer ball"""
5041,"Seat - ""Team sport""",Print Team sport for Seat by Noodle - Athleticism becomes a team sport,"Seat - ""Team sport"""
5042,"13ème Rue - ""The Biathlon""","Television The Biathlon for 13ème Rue by BETC Paris - If we had to make a sports show, this is how we'd do it","13ème Rue - ""The Biathlon"""
5043,"Skol - ""Trave""","Television & Cinema Trave for Skol by F/Nazca Saatchi & Saatchi Publicidade Ltda. - Se o cara que inventou a trave bebesse Skol, ela não seria assim...Gol...","Skol - ""Trave"""
5044,"Specialty Stores - ""Manifesto Guerilla Campaign""",Outdoor/Out of Home Manifesto Guerilla Campaign for Specialty Stores by ÇÖZÜM - A guerilla marketing campaign of the company manifesto on corrugated paper.,"Specialty Stores - ""Manifesto Guerilla Campaign"""
5045,"The Sports Center at Chelsea Piers - ""Right in Your Backyard""",Print Right in Your Backyard for The Sports Center at Chelsea Piers by The Ad Store Inc.,"The Sports Center at Chelsea Piers - ""Right in Your Backyard"""
5046,"The Sports Center at Chelsea Piers - ""Walk On Water""",Print Walk On Water for The Sports Center at Chelsea Piers by The Ad Store Inc.,"The Sports Center at Chelsea Piers - ""Walk On Water"""
5047,"The Sports Center at Chelsea Piers - ""More Weight. Less Wait.""",Print More Weight.  Less Wait. for The Sports Center at Chelsea Piers by The Ad Store Inc.,"The Sports Center at Chelsea Piers - ""More Weight. Less Wait."""
5048,"The Sports Center at Chelsea Piers - ""A Better Gym in a Big Way""",Print A Better Gym in a Big Way for The Sports Center at Chelsea Piers by The Ad Store Inc.,"The Sports Center at Chelsea Piers - ""A Better Gym in a Big Way"""
5049,"The Sports Center at Chelsea Piers - ""The Great Outdoors, Indoors""","Print The Great Outdoors, Indoors for The Sports Center at Chelsea Piers by The Ad Store Inc.","The Sports Center at Chelsea Piers - ""The Great Outdoors, Indoors"""
5050,"Partnership for a Drug-Free America - ""Steroids""","Television & Cinema Steroids for Partnership for a Drug-Free America by BBDO Worldwide, Inc.","Partnership for a Drug-Free America - ""Steroids"""
5051,"Canon - ""Attraction""",Television & Cinema Attraction for Canon by Dentsu Aegis Network - Make every shot a PowerShot,"Canon - ""Attraction"""
5052,"T-Mobile - ""Ben Wallace""",Television & Cinema Ben Wallace for T-Mobile,"T-Mobile - ""Ben Wallace"""
5053,"Gatorade - ""Big Head""",Television Big Head for Gatorade - Is It In You?,"Gatorade - ""Big Head"""
5054,"adidas - ""Equipo (60 sec)""",Television & Cinema Equipo (60 sec) for adidas by 180 Amsterdam - Two bored Spanish boys are kicking a football around on a dusty urban pitch behind their...,"adidas - ""Equipo (60 sec)"""
5055,"GM - ""Evolution""",Television & Cinema Evolution for GM,"GM - ""Evolution"""
5056,"Miller Lite - ""Clink""",Television & Cinema Clink for Miller Lite by Crispin Porter + Bogusky - Good Call.,"Miller Lite - ""Clink"""
5057,"Gatorade - ""Yankees""",Television & Cinema Yankees for Gatorade - Is It In You?,"Gatorade - ""Yankees"""
5058,"Michelob Ultra - ""Lifestyle Beer""",Television & Cinema Lifestyle Beer for Michelob Ultra by Cannonball - Live life to the Ultra.,"Michelob Ultra - ""Lifestyle Beer"""
5059,"adidas - ""Substitution (30 sec.)""",Television & Cinema Substitution (30 sec.) for adidas by 180 Amsterdam - Impossible Is Nothing,"adidas - ""Substitution (30 sec.)"""
5060,"Artengo - ""Tennis""",Print Tennis for Artengo by VMLY&R Paris - Serving your inspiration.,"Artengo - ""Tennis"""
5061,"KIPSTA - ""Stadium""",Print Stadium for KIPSTA by VMLY&R Paris - Playground Is Everywhere,"KIPSTA - ""Stadium"""
5062,"Asics - ""Kinsei Helsinki""","Promotion & Event Kinsei Helsinki for Asics by Nordpol Hamburg - A mini arena was built inside the top floor of a hotel. The motto for the show was ""The ma...","Asics - ""Kinsei Helsinki"""
5063,"ESPN - ""Surf Camp""","Television & Cinema Surf Camp for ESPN by Wieden + Kennedy - Without Sports, Where Would We Find Ourselves?","ESPN - ""Surf Camp"""
5064,"2012 Olympic Bid - ""Embracing The Olympic Spirit""",Case Study Embracing The Olympic Spirit for 2012 Olympic Bid by Havas Sports & Entertainment,"2012 Olympic Bid - ""Embracing The Olympic Spirit"""
5065,"Nike - ""Joga Bonito""",Digital Joga Bonito for Nike by LBi Copenhagen,"Nike - ""Joga Bonito"""
5066,"Gratta e Vinci! - ""Football""",Television Football for Gratta e Vinci! by VMLY&R ITALIA - Win often. Win now,"Gratta e Vinci! - ""Football"""
5067,"SABC - ""Tennis (Ya Baby-Ball Head)""",Television & Cinema Tennis (Ya Baby-Ball Head) for SABC by Y&R Brands,"SABC - ""Tennis (Ya Baby-Ball Head)"""
5068,"Samsung - ""N/A""",Print N/A for Samsung by Cheil Communications America,"Samsung - ""N/A"""
5069,"Nike Australia - ""Reincarnate""",Television & Cinema Reincarnate for Nike Australia by Publicis Mojo Sydney,"Nike Australia - ""Reincarnate"""
5070,"Proximus - ""Tour De France""",Television & Cinema Tour De France for Proximus by FamousGrey,"Proximus - ""Tour De France"""
5071,"adidas - ""adidas +10 World Cup Campaign""",Case Study adidas +10 World Cup Campaign for adidas by 180 Amsterdam,"adidas - ""adidas +10 World Cup Campaign"""
5072,"Adidas International - ""England Vs France""",Television & Cinema England Vs France for Adidas International by 180 Amsterdam,"Adidas International - ""England Vs France"""
5073,"Adidas International - ""Holland Vs Germany""",Television & Cinema Holland Vs Germany for Adidas International by 180 Amsterdam,"Adidas International - ""Holland Vs Germany"""
5074,"adidas - ""Italy Vs Japan""",Television & Cinema Italy Vs Japan for adidas by 180 Amsterdam,"adidas - ""Italy Vs Japan"""
5075,"adidas - ""Brazil Vs Argentina""",Television & Cinema Brazil Vs Argentina for adidas by 180 Amsterdam,"adidas - ""Brazil Vs Argentina"""
5076,"Betfair.com - ""Snails""","Television Snails for Betfair.com by BLAC - CHANGE STRATEGY
We took Betfair from being almost anonymous to a 95% awareness level. We recognised that fairn...","Betfair.com - ""Snails"""
5077,"Pizza Hut - ""Mixed Doubles""",Television Mixed Doubles for Pizza Hut by Wieden+Kennedy - Buy One Get One Half Price,"Pizza Hut - ""Mixed Doubles"""
5078,"Electronic Arts - ""Need For Speed""",Television Need For Speed for Electronic Arts by Wieden + Kennedy - Wieden + Kennedy won the EA business globally in February 2005 and is responsible for a...,"Electronic Arts - ""Need For Speed"""
5079,"Sport Magazine - ""Live Without Men""",Television Live Without Men for Sport Magazine by Wunderman Thompson - wo women sitting on a sofa take tea together.  One of the women turns to the other a...,"Sport Magazine - ""Live Without Men"""
5080,"Budweiser - ""Stands (Spanish)""",Television & Cinema Stands (Spanish) for Budweiser,"Budweiser - ""Stands (Spanish)"""
5081,"Mobile ESPN - ""Five Hundred Yards""",Television & Cinema Five Hundred Yards for Mobile ESPN by Arnold,"Mobile ESPN - ""Five Hundred Yards"""
5082,"Mobile ESPN - ""Trey""",Television & Cinema Trey for Mobile ESPN by Arnold,"Mobile ESPN - ""Trey"""
5083,"Mobile ESPN - ""Neil""",Television & Cinema Neil for Mobile ESPN by Arnold,"Mobile ESPN - ""Neil"""
5084,"The Sporting News - ""Ping Pong""",Radio Ping Pong for The Sporting News by DeVito/Verdi - Just hard hitting coverage of hard hitting sports.,"The Sporting News - ""Ping Pong"""
5085,"Britches - ""Rugby""",Television & Cinema Rugby for Britches by DeVito/Verdi,"Britches - ""Rugby"""
5086,"Electronic Arts - ""Sims""",Television Sims for Electronic Arts by Wieden + Kennedy - Wieden + Kennedy won the EA business globally in February 2005 and is responsible for all EA adve...,"Electronic Arts - ""Sims"""
5087,"Electronic Arts - ""Godfather""",Television Godfather for Electronic Arts by Wieden + Kennedy - Welcome to the family,"Electronic Arts - ""Godfather"""
5088,"EA Games - ""Celebration""",Television Celebration for EA Games by Wieden+Kennedy - Wieden + Kennedy won the EA business globally in February 2005 and is responsible for all EA advert...,"EA Games - ""Celebration"""
5089,"Wendy's - ""Kick For A Million""",Case Study Kick For A Million for Wendy's by M2 Universal - Leverage Wendys sponsorship as Official Hamburger of the CFL (Canadian Football League) by put...,"Wendy's - ""Kick For A Million"""
5090,"JCPenney - ""School is Awesome""",Television & Cinema School is Awesome for JCPenney by DDB Chicago - Its all inside.,"JCPenney - ""School is Awesome"""
5091,"Toppan - ""100 Years of Baseball""",Flash Animation 100 Years of Baseball for Toppan by Outside The Box Interactive LLC,"Toppan - ""100 Years of Baseball"""
5092,"Fox Sports Net - ""Ladders""",Television & Cinema Ladders for Fox Sports Net,"Fox Sports Net - ""Ladders"""
5093,"Burger King - ""Stuff of Legends""",Television & Cinema Stuff of Legends for Burger King by Crispin Porter + Bogusky - Have It Your Way,"Burger King - ""Stuff of Legends"""
5094,"Clear Eyes - ""Hall of Fame Speech""",Television & Cinema Hall of Fame Speech for Clear Eyes,"Clear Eyes - ""Hall of Fame Speech"""
5095,"Kraft - ""Sports""",Television & Cinema Sports for Kraft by J. Walter Thompson Chicago,"Kraft - ""Sports"""
5096,"Quaker Chewy - ""On The Go""",Television & Cinema On The Go for Quaker Chewy by Element 79 - Keep The Goodness Going,"Quaker Chewy - ""On The Go"""
5097,"The Sporting News - ""Chest""",Print Chest for The Sporting News by DeVito/Verdi,"The Sporting News - ""Chest"""
5098,"The Sporting News - ""Clown""",Print Clown for The Sporting News by DeVito/Verdi,"The Sporting News - ""Clown"""
5099,"The Sporting News - ""Football""",Print Football for The Sporting News by DeVito/Verdi,"The Sporting News - ""Football"""
5100,"newyorkjets.com - ""Chad Pennington""",Television & Cinema Chad Pennington for newyorkjets.com,"newyorkjets.com - ""Chad Pennington"""
5101,"Jets Shop - ""Jets Fan""",Television & Cinema Jets Fan for Jets Shop,"Jets Shop - ""Jets Fan"""
5102,"Sprint - ""Bad Disguise""",Television & Cinema Bad Disguise for Sprint by TBWA\Chiat\Day New York - Power Up,"Sprint - ""Bad Disguise"""
5103,"Gatorade - ""Football""",Television & Cinema Football for Gatorade by Element 79 - is it in you?,"Gatorade - ""Football"""
5104,"Nike - ""Opponent""",Television & Cinema Opponent for Nike,"Nike - ""Opponent"""
5105,"Alavert - ""Kayaking""",Television & Cinema Kayaking for Alavert - Experience the relief,"Alavert - ""Kayaking"""
5106,"World Mastercard - ""Lady Golfer""",Television & Cinema Lady Golfer for World Mastercard by McCann Worldgroup - The card that won't hold you back.,"World Mastercard - ""Lady Golfer"""
5107,"Total Service Station - ""Cheerleaders""",Television Cheerleaders for Total Service Station by Network BBDO - Very Serious about service.,"Total Service Station - ""Cheerleaders"""
5108,"Supersport - ""Life's Not the Same""",Television & Cinema Life's Not the Same for Supersport by Ogilvy South Africa,"Supersport - ""Life's Not the Same"""
5109,"DirecTV - ""Pep Talk""",Television & Cinema Pep Talk for DirecTV by Deutsch - There's good TV. There's better TV.  Then there's DirectTV.,"DirecTV - ""Pep Talk"""
5110,"Bridgestone Golf - ""Boom It""",Television Boom It for Bridgestone Golf by JWT Atlanta - Passion for Excellence,"Bridgestone Golf - ""Boom It"""
5111,"Century 21 - ""Hank Aaron""",Television & Cinema Hank Aaron for Century 21 by mcgarrybowen - agents of change,"Century 21 - ""Hank Aaron"""
5112,"DHL - ""Hometown Heroes""",Television & Cinema Hometown Heroes for DHL by Ogilvy,"DHL - ""Hometown Heroes"""
5113,"ESPN - ""Thumb""",Television & Cinema Thumb for ESPN by Wieden + Kennedy - This Monday is One Monday Closer to Monday Night Football,"ESPN - ""Thumb"""
5114,"Foot Locker - ""Missing""",Television & Cinema Missing for Foot Locker,"Foot Locker - ""Missing"""
5115,"Mercedes-Benz - ""Sea of Sameness""",Television & Cinema Sea of Sameness for Mercedes-Benz by Merkley+Partners - Unlike any other.,"Mercedes-Benz - ""Sea of Sameness"""
5116,"PricewaterhouseCoopers - ""Bobby Jones""",Television & Cinema Bobby Jones for PricewaterhouseCoopers - The lessons of golf are the lessons of life.,"PricewaterhouseCoopers - ""Bobby Jones"""
5117,"Under Armour - ""Click Clack""",Television & Cinema Click Clack for Under Armour,"Under Armour - ""Click Clack"""
5118,"American Express - ""Roddick vs PONG""",Television Roddick vs PONG for American Express by Ogilvy - My Life. My Card.,"American Express - ""Roddick vs PONG"""
5119,"EA Sports - ""Roll""",Television & Cinema Roll for EA Sports by Wieden + Kennedy - How Does It Feel?,"EA Sports - ""Roll"""
5120,"EA Sports - ""Hi, I'm Shaun""","Television & Cinema Hi, I'm Shaun for EA Sports by Wieden + Kennedy - How Does It Feel?","EA Sports - ""Hi, I'm Shaun"""
5121,"Honey Nut Cheerios - ""Stadium""",Television & Cinema Stadium for Honey Nut Cheerios by Saatchi & Saatchi NY - Bee Happy. Be Healthy.,"Honey Nut Cheerios - ""Stadium"""
5122,"Subway - ""Give 'Em What They Want""",Television & Cinema Give 'Em What They Want for Subway by Source Communications - eat fresh.,"Subway - ""Give 'Em What They Want"""
5123,"Sasol Delight - ""Be a Bok For a Week 2""",Television Be a Bok For a Week 2 for Sasol Delight by TEQUILA\ - Be a Bok for a week,"Sasol Delight - ""Be a Bok For a Week 2"""
5124,"NFL Flag - ""Kilts""",Television & Cinema Kilts for NFL Flag by BBDO New York,"NFL Flag - ""Kilts"""
5125,"CTI Móvil - ""Heroes""",Television & Cinema Heroes for CTI Móvil by Saatchi & Saatchi Argentina,"CTI Móvil - ""Heroes"""
5126,"USA Football - ""Play Football Month""",Television & Cinema Play Football Month for USA Football,"USA Football - ""Play Football Month"""
5127,"McDonald's - ""Basketball""",Television & Cinema Basketball for McDonald's by Arnold - i'm lovin' it,"McDonald's - ""Basketball"""
5128,"EA Sports - ""49 Yards""",Television & Cinema 49 Yards for EA Sports by Wieden + Kennedy,"EA Sports - ""49 Yards"""
5129,"NFL - ""Fantasy Rule #17""",Television & Cinema Fantasy Rule #17 for NFL by BBDO New York,"NFL - ""Fantasy Rule #17"""
5130,"USA Football - ""Volunteers""",Television & Cinema Volunteers for USA Football,"USA Football - ""Volunteers"""
5131,"Spokane Hoopfest - ""Hoopfest/AAU""",Web Site Hoopfest/AAU for Spokane Hoopfest by Miller.WhiteRunkle,"Spokane Hoopfest - ""Hoopfest/AAU"""
5132,"Spokane Hoopfest - ""2006 Hoopfest Poster""",Web Site 2006 Hoopfest Poster for Spokane Hoopfest by Miller.WhiteRunkle,"Spokane Hoopfest - ""2006 Hoopfest Poster"""
5133,"Lexus - ""The Elite""",Television & Cinema The Elite for Lexus by Team One - Pursue Perfection,"Lexus - ""The Elite"""
5134,"MassMutual Financial Group - ""Dog""",Television & Cinema Dog for MassMutual Financial Group by MullenLowe Boston,"MassMutual Financial Group - ""Dog"""
5135,"Nike - ""I Feel Pretty""",Television & Cinema I Feel Pretty for Nike by Wieden + Kennedy - Just Do It,"Nike - ""I Feel Pretty"""
5136,"Lexus - ""Life Span""",Television & Cinema Life Span for Lexus by Team One - Pursue Perfection,"Lexus - ""Life Span"""
5137,"Lavazza - ""Turning the Store into the Ad""",Case Study Turning the Store into the Ad for Lavazza by Havas Sports & Entertainment,"Lavazza - ""Turning the Store into the Ad"""
5138,"Nike Pro - ""The Secret Launch of Nike Pro""",Case Study The Secret Launch of Nike Pro for Nike Pro by Havas Barcelona,"Nike Pro - ""The Secret Launch of Nike Pro"""
5139,"Nike Pro - ""Front Cover Fusion""",Case Study Front Cover Fusion for Nike Pro by Havas Barcelona,"Nike Pro - ""Front Cover Fusion"""
5140,"Nike Pro - ""Launching With a Flying Start""",Case Study Launching With a Flying Start for Nike Pro by Havas Barcelona,"Nike Pro - ""Launching With a Flying Start"""
5141,"Nike Pro - ""No line. No limit.""",Case Study No line. No limit. for Nike Pro by Havas Barcelona,"Nike Pro - ""No line. No limit."""
5142,"2012 Olympic Bid - ""Embracing the Olympic Spirit""",Case Study Embracing the Olympic Spirit for 2012 Olympic Bid by Havas Sports & Entertainment,"2012 Olympic Bid - ""Embracing the Olympic Spirit"""
5143,"Nike Pro - ""The Secret Launch of Nike Pro""",Case Study The Secret Launch of Nike Pro for Nike Pro by Havas Barcelona,"Nike Pro - ""The Secret Launch of Nike Pro"""
5144,"Nike Pro - ""Front Cover Fusion""",Case Study Front Cover Fusion for Nike Pro by Havas Barcelona,"Nike Pro - ""Front Cover Fusion"""
5145,"Nike Pro - ""No line. No limit.""",Case Study No line. No limit. for Nike Pro by Havas Barcelona,"Nike Pro - ""No line. No limit."""
5146,"L'Oréal - ""Heads Above Head & Shoulders""",Case Study Heads Above Head & Shoulders for L'Oréal by Havas Barcelona,"L'Oréal - ""Heads Above Head & Shoulders"""
5147,"Arena - ""Torpedo""",Television & Cinema Torpedo for Arena by MullenLowe Italy - Water Instinct,"Arena - ""Torpedo"""
5148,"Omo - ""Courage""",Television & Cinema Courage for Omo by MullenLowe New York,"Omo - ""Courage"""
5149,"Nike - ""Push (90 sec)""",Television & Cinema Push (90 sec) for Nike by Wieden + Kennedy - Just Do It,"Nike - ""Push (90 sec)"""
5150,"Spokane Hoopfest - ""2006 Hoopfest T-shirt""",Promotional Products 2006 Hoopfest T-shirt for Spokane Hoopfest by Miller.WhiteRunkle,"Spokane Hoopfest - ""2006 Hoopfest T-shirt"""
5151,"Spokane Hoopfest - ""2006 Hoopfest Loser King T-shirt""",Promotional Products 2006 Hoopfest Loser King T-shirt for Spokane Hoopfest by Miller.WhiteRunkle,"Spokane Hoopfest - ""2006 Hoopfest Loser King T-shirt"""
5152,"Spokane Hoopfest - ""2006 Hoopfest Finalist T-shirt""",Promotional Products 2006 Hoopfest Finalist T-shirt for Spokane Hoopfest by Miller.WhiteRunkle,"Spokane Hoopfest - ""2006 Hoopfest Finalist T-shirt"""
5153,"Spokane Hoopfest - ""2006 Hoopfest Player T-shirt""",Promotional Products 2006 Hoopfest Player T-shirt for Spokane Hoopfest by Miller.WhiteRunkle,"Spokane Hoopfest - ""2006 Hoopfest Player T-shirt"""
5154,"Spokane Hoopfest - ""2006 Hoopfest Volunteer T-shirt""",Promotional Products 2006 Hoopfest Volunteer T-shirt for Spokane Hoopfest by Miller.WhiteRunkle,"Spokane Hoopfest - ""2006 Hoopfest Volunteer T-shirt"""
5155,"Cingular - ""PGA Sponsorship Point of Sale""",Direct Mail PGA Sponsorship Point of Sale for Cingular by Miller.WhiteRunkle,"Cingular - ""PGA Sponsorship Point of Sale"""
5156,"Cingular - ""World Cup Point of Sale""",Direct Mail World Cup Point of Sale for Cingular by Miller.WhiteRunkle,"Cingular - ""World Cup Point of Sale"""
5157,"Pepsi - ""Barrier""",Television Barrier for Pepsi by BBDO Argentina - The 3 ads of the campaign reflects: 1- a guy who comes up with the idea of disguising himself in a giant t...,"Pepsi - ""Barrier"""
5158,"Reebok - ""When Did I Know?""",Television When Did I Know? for Reebok by mcgarrybowen - i am what i am,"Reebok - ""When Did I Know?"""
5159,"Southwest Airlines - ""Towel Whip""",Television & Cinema Towel Whip for Southwest Airlines by GSD&M,"Southwest Airlines - ""Towel Whip"""
5160,"Deutsche Bank - ""Deutsche Bank Championship Home""",Web Site Deutsche Bank Championship Home for Deutsche Bank by ROKKAN - ROKKAN leveraged Web 2.0 technologies such as AJAX and Ruby on Rails to create the D...,"Deutsche Bank - ""Deutsche Bank Championship Home"""
5161,"2K Games - ""Top Spin 2 Game Home""","Web Site Top Spin 2 Game Home for 2K Games by ROKKAN - Top Spin 2, the first next-generation tennis title available for the Xbox 360, warranted an equally...","2K Games - ""Top Spin 2 Game Home"""
5162,"adidas - ""Pistol Pete""",Digital Pistol Pete for adidas by Carat,"adidas - ""Pistol Pete"""
5163,"Wachovia - ""Tee Off""",Digital Tee Off for Wachovia by Carat,"Wachovia - ""Tee Off"""
5164,"American Express - ""Roddick vs PONG (60 sec)""",Television & Cinema Roddick vs PONG (60 sec) for American Express by Ogilvy - My Life. My Card.,"American Express - ""Roddick vs PONG (60 sec)"""
5165,"Vonage - ""Beauty and the Geek""",Television & Cinema Beauty and the Geek for Vonage by Arnold,"Vonage - ""Beauty and the Geek"""
5166,"EA Sports - ""Riddle""",Television & Cinema Riddle for EA Sports by Wieden + Kennedy - How Does It Feel?,"EA Sports - ""Riddle"""
5167,"Hospital for Special Surgery - ""Tennis Match""",Television & Cinema Tennis Match for Hospital for Special Surgery,"Hospital for Special Surgery - ""Tennis Match"""
5168,"IBM - ""Box""",Television & Cinema Box for IBM by Ogilvy - what makes you special?,"IBM - ""Box"""
5169,"Diet Pepsi - ""Reggie Bush""",Television & Cinema Reggie Bush for Diet Pepsi by DDB New York,"Diet Pepsi - ""Reggie Bush"""
5170,"Sears - ""Running""",Television & Cinema Running for Sears by Y&R Chicago,"Sears - ""Running"""
5171,"University of Kentucky Athletics Association - ""Athletics Mascot Pet""",Television Athletics Mascot Pet for University of Kentucky Athletics Association by Cornett - Go Big Blue!,"University of Kentucky Athletics Association - ""Athletics Mascot Pet"""
5172,"Propel - ""Fruits""",Television & Cinema Fruits for Propel by Element 79 - It's how Gatorade does water,"Propel - ""Fruits"""
5173,"DISH Network - ""Football Everyday""",Television & Cinema Football Everyday for DISH Network,"DISH Network - ""Football Everyday"""
5174,"Febreze - ""Sports Gear""","Television & Cinema Sports Gear for Febreze by Grey New York - Spray on, freshness lovers, spray on.","Febreze - ""Sports Gear"""
5175,"Sony - ""Whistle of Glory""",Television & Cinema Whistle of Glory for Sony by McKinney - The World's First Television For Men And Women,"Sony - ""Whistle of Glory"""
5176,"Alltel - ""Mascots""",Television & Cinema Mascots for Alltel by Campbell Ewald - come and get your love,"Alltel - ""Mascots"""
5177,"Alltel - ""Phone Company Nerds""",Television & Cinema Phone Company Nerds for Alltel by Campbell Ewald - come and get your love,"Alltel - ""Phone Company Nerds"""
5178,"Nike - ""Push (30 sec)""",Television & Cinema Push (30 sec) for Nike by Wieden + Kennedy - Just Do It.,"Nike - ""Push (30 sec)"""
5179,"Weyak - ""Sports""","Newspaper Sports for Weyak by Team / Y&R Abu Dhabi - Energetic, hyper, moody","Weyak - ""Sports"""
5180,"Volkswagen - ""Windsurf""",Television Windsurf for Volkswagen by agence .V. - Ce n'est pas en vacances que vous ferez des économies,"Volkswagen - ""Windsurf"""
5181,"Volkswagen - ""Water-Skiing""",Television Water-Skiing for Volkswagen by agence .V. - Ce n'est pas en vacances que vous ferez des économies,"Volkswagen - ""Water-Skiing"""
5182,"Fiat - ""True Life""",Television True Life for Fiat by Leo Burnett Milan,"Fiat - ""True Life"""
5183,"Banco de Credito del Peru - ""Kung Fu""",Television Kung Fu for Banco de Credito del Peru by Leo Burnett del Peru SA - For all your needs,"Banco de Credito del Peru - ""Kung Fu"""
5184,"Major League Baseball - ""Kitchen""",Television Kitchen for Major League Baseball by McCann Worldgroup,"Major League Baseball - ""Kitchen"""
5185,"Major League Baseball - ""Bathroom""",Television Bathroom for Major League Baseball by McCann Worldgroup,"Major League Baseball - ""Bathroom"""
